corequisite_code,course_code
MATB41H3,ASTB23H3
MATB42H3,ASTC25H3
BIOB10H3,BIOB12H3
BIOB11H3,BIOB12H3
BIOB30H3,BIOB32H3
BIOB34H3,BIOB32H3
BIOB50H3,BIOB52H3
BIOB51H3,BIOB52H3
BIOB10H3,BIOB90H3
BIOB11H3,BIOB90H3
BIOB34H3,BIOB90H3
BIOB38H3,BIOB90H3
BIOB50H3,BIOB90H3
BIOB51H3,BIOB90H3
BIOB11H3,BIOB97H3
BIOB10H3,BIOB97H3
BIOB34H3,BIOB97H3
BIOB38H3,BIOB97H3
BIOB50H3,BIOB97H3
BIOB51H3,BIOB97H3
BIOB50H3,BIOC52H3
BIOB51H3,BIOC52H3
BIOC12H3,BIOC90H3
BIOC14H3,BIOC90H3
BIOC20H3,BIOC90H3
BIOC32H3,BIOC90H3
BIOC34H3,BIOC90H3
BIOC39H3,BIOC90H3
BIOC40H3,BIOC90H3
BIOC54H3,BIOC90H3
BIOC61H3,BIOC90H3
BIOC12H3,BIOD21H3
CSCC43H3,CSCC09H3
CSCD90H3,CSCD54H3
CSCD54H3,CSCD90H3
EESB15H3,EESB26H3
FREB01H3,FREB50H3
FREC02H3,FREC10H3
FREB02H3,FREC18H3
HLTC27H3,HLTD23H3
JOUB11H3,JOUA06H3
JOUB14H3,JOUA06H3
JOUB18H3,JOUA06H3
JOUB19H3,JOUA06H3
JOUC13H3,JOUB03H3
JOUC25H3,JOUB03H3
JOUA06H3,JOUB11H3
JOUB14H3,JOUB11H3
JOUB18H3,JOUB11H3
JOUB19H3,JOUB11H3
JOUA06H3,JOUB14H3
JOUB11H3,JOUB14H3
JOUB18H3,JOUB14H3
JOUB19H3,JOUB14H3
JOUA06H3,JOUB18H3
JOUB11H3,JOUB18H3
JOUB14H3,JOUB18H3
JOUB19H3,JOUB18H3
JOUA06H3,JOUB19H3
JOUB11H3,JOUB19H3
JOUB14H3,JOUB19H3
JOUB18H3,JOUB19H3
JOUB05H3,JOUB20H3
JOUC18H3,JOUB20H3
JOUC19H3,JOUB20H3
JOUC20H3,JOUB20H3
JOUB03H3,JOUC13H3
JOUC25H3,JOUC13H3
JOUB05H3,JOUC18H3
JOUB20H3,JOUC18H3
JOUC19H3,JOUC18H3
JOUC20H3,JOUC18H3
JOUB05H3,JOUC19H3
JOUB20H3,JOUC19H3
JOUC18H3,JOUC19H3
JOUC20H3,JOUC19H3
JOUB20H3,JOUC21H3
JOUC18H3,JOUC21H3
JOUC19H3,JOUC21H3
JOUC21H3,JOUC21H3
JOUC22H3,JOUC21H3
JOUB20H3,JOUC22H3
JOUC18H3,JOUC22H3
JOUC19H3,JOUC22H3
JOUC21H3,JOUC22H3
LINB04H3,LINB10H3
LINB06H3,LINB10H3
LINB29H3,LINC35H3
MATB41H3,MATB44H3
MATB42H3,MATC46H3
MATC01H3,MATD02H3
MBTB41H3,MBTB13H3
MBTB50H3,MBTB13H3
MBTC62H3,MBTB13H3
MBTC63H3,MBTB13H3
MBTC70H3,MBTB13H3
MBTC72H3,MBTB13H3
MBTB13H3,MBTB41H3
MBTB50H3,MBTB41H3
MBTC62H3,MBTB41H3
MBTC63H3,MBTB41H3
MBTC70H3,MBTB41H3
MBTC72H3,MBTB41H3
MBTB13H3,MBTB50H3
MBTB50H3,MBTB50H3
MBTC62H3,MBTB50H3
MBTC63H3,MBTB50H3
MBTC70H3,MBTB50H3
MBTC72H3,MBTB50H3
MDSA12H3,MDSA10H3
MDSB10H3,MDSB14H3
MDSA01H3,MDSB14H3
MGEB01H3,MGEB32H3
MGEB02H3,MGEB32H3
MGED11H3,MGED50H3
MGFC10H3,MGFC30H3
MGFC10H3,MGFC35H3
MGFC35H3,MGFC45H3
MGFC35H3,MGFD25H3
MGFD10H3,MGFD25H3
MGFC30H3,MGFD60H3
MGFC35H3,MGFD60H3
MGFD10H3,MGFD60H3
MGOC10H3,MGOC15H3
MGOC10H3,MGOC50H3
MGOC20H3,MGOD40H3
MGMA01H3,MGSC07H3
MGAB02H3,MGSC07H3
NMEA02H3,NMEA01H3
NMEA03H3,NMEA01H3
NMEA04H3,NMEA01H3
NMEA01H3,NMEA02H3
NMEA03H3,NMEA02H3
NMEA04H3,NMEA02H3
MDSA01H3,NMEA03H3
MDSA02H3,NMEA03H3
NMEA01H3,NMEA04H3
NMEA02H3,NMEA04H3
NMEA03H3,NMEA04H3
NMEB05H3,NMEB06H3
NMEB08H3,NMEB06H3
NMEB09H3,NMEB06H3
NMEB10H3,NMEB06H3
NMEB05H3,NMEB09H3
NMEB06H3,NMEB09H3
NMEB08H3,NMEB09H3
NMEB10H3,NMEB09H3
NMEB05H3,NMEB10H3
NMEB06H3,NMEB10H3
NMEB08H3,NMEB10H3
NMEB09H3,NMEB10H3
NROB60H3,NROB61H3
NROC69H3,NROC60H3
PSYC08H3,NROC60H3
NROC61H3,NROC63H3
PSYC08H3,NROC63H3
PSYC08H3,NROD98Y3
PSYC09H3,NROD98Y3
MATA30H3,PHYA10H3
MATA31H3,PHYA10H3
MATA29H3,PHYA11H3
MATA30H3,PHYA11H3
MATA31H3,PHYA11H3
MATA32H3,PHYA11H3
MATA20H3,PHYA11H3
MATA36H3,PHYA21H3
MATA37H3,PHYA21H3
MATA35H3,PHYA22H3
MATA36H3,PHYA22H3
MATA37H3,PHYA22H3
MATA33H3,PHYA22H3
MATA21H3,PHYA22H3
MATB41H3,PHYB10H3
MATB42H3,PHYB21H3
MATB42H3,PHYB52H3
MATB42H3,PHYB54H3
MATB41H3,PHYB56H3
MATB44H3,PHYB57H3
MATC46H3,PHYC83H3
LINB29H3,PLIC55H3
PMDB25H3,PMDB22H3
PMDB41H3,PMDB22H3
PMDB33H3,PMDB22H3
PMDB32Y3,PMDB30H3
PMDB36H3,PMDB30H3
PMDB30H3,PMDB32Y3
PMDB36H3,PMDB32Y3
PMDB22H3,PMDB33H3
PMDC42Y3,PMDC40H3
PMDC43H3,PMDC40H3
PMDC40H3,PMDC42Y3
PMDC43H3,PMDC42Y3
PMDC40H3,PMDC43H3
PMDC42Y3,PMDC43H3
PMDC56H3,PMDC54Y3
PMDC54Y3,PMDC56H3
PSYB07H3,PSYB03H3
STAB22H3,PSYB03H3
STAB23H3,PSYB03H3
PSYC02H3,PSYC73H3
SOCA05H3,SOCB35H3
SOCA03Y3,SOCB35H3
SOCA01H3,SOCB35H3
SOCA02H3,SOCB35H3
MATC46H3,STAC70H3
STAD57H3,STAD70H3
VPSA63H3,VPSA62H3
VPSA62H3,VPSB56H3
VPSA63H3,VPSB56H3
